title,rating,runtime,imdb_rating,genre,release_year,description,director,votes,stars,type
Rise of the Guardians,PG,1hr 37 mins,7.2,"Animation, Action, Adventure",2012,"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.",Peter Ramsey,189439,"Hugh Jackman, Alec Baldwin, Isla Fisher, Chris Pine, ",Movie
The Shop Around the Corner,Not Rated,1hr 39 mins,8.0,"Comedy, Drama, Romance",1940,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Ernst Lubitsch,37205,"Margaret Sullavan, James Stewart, Frank Morgan, Joseph Schildkraut, ",Movie
Remember the Night,Passed,1hr 34 mins,7.6,"Comedy, Drama, Romance",1939,Love blooms between a sympathetic attorney and the comely shoplifter he has taken home for the Christmas holiday.,Mitchell Leisen,6866,"Barbara Stanwyck, Fred MacMurray, Beulah Bondi, Elizabeth Patterson, ",Movie
Jingle Jangle: A Christmas Journey,PG,2hr 2 mins,6.4,"Family, Fantasy, Musical",2020,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.",David E. Talbert,20265,"Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, ",Movie
A Christmas Carol,Passed,1hr 9 mins,7.5,"Drama, Family, Fantasy",1938,An elderly miser learns the error of his ways on Christmas Eve.,Edwin L. Marin,8494,"Reginald Owen, Gene Lockhart, Kathleen Lockhart, Terry Kilburn, ",Movie
Little Women,PG,1hr 55 mins,7.3,"Drama, Family, Romance",1994,The March sisters live and grow in post-Civil War America.,Gillian Armstrong,62422,"Susan Sarandon, Winona Ryder, Kirsten Dunst, Claire Danes, ",Movie
Prancer,G,1hr 43 mins,6.4,"Drama, Family, Fantasy",1989,"A farm girl nurses a wounded reindeer she believes is one of Santa's, hoping to bring it back to health in time for Christmas. Her holiday spirit inspires those around her, something her disheartened father is having trouble understanding.",John D. Hancock,6185,"Sam Elliott, Cloris Leachman, Rutanya Alda, Abe Vigoda, ",Movie
12 Dates of Christmas,PG,1hr 30 mins,6.3,"Comedy, Family, Fantasy",2011,"A story that follows Kate, a young woman who after a horrible blind date on Christmas Eve, wakes up to find she is re-living that same day and date all over again.",James Hayman,8054,"Laura Miyata, Vijay Mehta, Amy Smart, Audrey Dwyer, ",Movie
The Ref,R,1hr 37 mins,6.9,"Comedy, Crime, Drama",1994,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.",Ted Demme,26135,"Denis Leary, Judy Davis, Kevin Spacey, Robert J. Steinmiller Jr., ",Movie
This Christmas,PG-13,1hr 57 mins,6.3,"Comedy, Drama, Romance",2007,A Christmastime drama centered around the Whitfield family's first holiday together in four years.,Preston A. Whitmore II,10259,"Regina King, Columbus Short, Delroy Lindo, Idris Elba, ",Movie
The Princess Switch,TV-PG,1hr 41 mins,6.1,"Comedy, Drama, Family",2018,"Competing in a Christmas baking competition in Belgravia, a Chicago baker bumps into the prince's fiancée--who looks just like her. They switch lives for two days.",Mike Rohl,30806,"Vanessa Hudgens, Sam Palladio, Nick Sagar, Alexa Adeosun, ",Movie
The Nativity Story,PG,1hr 41 mins,6.8,"Adventure, Drama, Family",2006,A drama that focuses on the period in Mary and Joseph's life where they journeyed to Bethlehem for the birth of Jesus.,Catherine Hardwicke,12172,"Keisha Castle-Hughes, Shohreh Aghdashloo, Oscar Isaac, Hiam Abbass, ",Movie
A Very Harold & Kumar Christmas,R,1hr 30 mins,6.2,"Adventure, Comedy",2011,"Six years after their Guantanamo Bay adventure, stoner buds Harold Lee and Kumar Patel cause a holiday fracas by inadvertently burning down Harold's father-in-law's prize Christmas tree.",Todd Strauss-Schulson,72114,"Kal Penn, John Cho, Neil Patrick Harris, Patton Oswalt, ",Movie
