title,rating,runtime,imdb_rating,genre,release_year,description,director,votes,stars,type
A Christmas Carol,PG,1hr 40 mins,7.8,"Drama, Family, Fantasy",1984,A bitter old miser who rationalizes his uncaring nature learns real compassion when three spirits visit him on Christmas Eve.,Clive Donner,17502,"George C. Scott, Frank Finlay, Angela Pleasence, Edward Woodward, ",Movie
Little Women,PG,2hr 15 mins,7.8,"Drama, Romance",2019,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Greta Gerwig,234116,"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen, ",Movie
Noelle,G,1hr 40 mins,6.3,"Comedy, Family, Fantasy",2019,"Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.",Marc Lawrence,26007,"Anna Kendrick, Shirley MacLaine, Bill Hader, Kingsley Ben-Adir, ",Movie
Holidate,TV-MA,1hr 44 mins,6.1,"Comedy, Romance",2020,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",John Whitesell,76442,"Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher, ",Movie
Black Christmas,R,1hr 38 mins,7.1,"Horror, Mystery, Thriller",1974,"During their Christmas break, a group of sorority girls are stalked by a stranger.",Bob Clark,46769,"Olivia Hussey, Keir Dullea, Margot Kidder, John Saxon, ",Movie
Santa Claus,PG,1hr 47 mins,6.2,"Adventure, Family, Fantasy",1985,The legend of Santa Claus is put in jeopardy when an unscrupulous toy manufacturer attempts to take over Christmas.,Jeannot Szwarc,15236,"Dudley Moore, John Lithgow, David Huddleston, Burgess Meredith, ",Movie
Love Hard,TV-MA,1hr 44 mins,6.3,"Comedy, Romance",2021,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. This lighthearted romantic comedy chronicles her attempt to reel in love.",Hernán Jiménez,59820,"Nina Dobrev, Jimmy O. Yang, Darren Barnet, James Saito, ",Movie
Arthur Christmas,PG,1hr 37 mins,7.1,"Animation, Adventure, Comedy",2011,Santa's clumsy son Arthur sets out on a mission with Grandsanta to give out a misplaced present to a young girl in less than two hours on Christmas Day.,Sarah Smith,65517,"Barry Cook, James McAvoy, Jim Broadbent, Bill Nighy, Hugh Laurie, ",Movie
Holiday Inn,Passed,1hr 40 mins,7.3,"Comedy, Drama, Music",1942,"At an inn which is open only on holidays, a crooner and a hoofer vie for the affections of a beautiful up-and-coming performer.",Mark Sandrich,17038,"Robert Allen, Bing Crosby, Fred Astaire, Marjorie Reynolds, Virginia Dale, ",Movie
Santa Claus Is Comin' to Town,TV-G,48 mins,7.7,"Animation, Adventure, Comedy",1970,A mailman reveals the origin of Santa Claus.,Jules Bass,16973,"Arthur Rankin Jr., Fred Astaire, Mickey Rooney, Keenan Wynn, Paul Frees, ",Movie
Christmas in Connecticut,Approved,1hr 41 mins,7.3,"Comedy, Romance",1945,A food writer who has lied about being the perfect housewife must try to cover her deception when her boss and a returning war hero invite themselves to her home for a traditional family Christmas.,Peter Godfrey,11520,"Barbara Stanwyck, Dennis Morgan, Sydney Greenstreet, Reginald Gardiner, ",Movie
